Kansas City,Lawrence,Manhattan,Topeka,Wichita
Vernon Street   66104,,,SE Wear Circle   66607,Georgia Street   67216
Victoria Drive   66106,,,SE West Edge Road   66605,"Georgia Street, East   67216"
Victoria Street   66103,,,SE West Edge Road   66609,"Georgia Street, West   67215"
Victoria Street   66106,,,SE William Street   66607,Gibson Street   67217
Victory Drive   66102,,,SE Willow Way   66609,Gidley Street   67216
Viewcrest Drive   66101,,,SE Willow Way   66619,"Gilbert Circle, East   67230"
Village West Pkwy   66111,,,SE Winfield Avenue   66607,Gilbert Court   67218
"Village West Pkwy, North   66111",,,SE Winston Drive   66605,Gilbert Court   67230
Vista Drive   66106,,,SE Wisconsin Avenue   66605,"Gilbert Street, East   67207"
Vista Street   66106,,,SE Wisconsin Avenue   66609,"Gilbert Street, East   67211"
W 101st Terrace   66109,,,SE Wittenberg Road   66605,"Gilbert Street, East   67218"
W 36th Avenue   66103,,,SE Wittenberg Road   66607,"Gilbert Street, East   67230"
W 37th Avenue   66103,,,SE Wood Street   66607,"Gilbert Street, West   67213"
W 38 Terrace   66103,,,SE Woodland Avenue   66607,Gilda Circle   67215
W 38th Avenue   66103,,,SE Yale Avenue   66607,"Gilda Circle, South   67215"
W 38th Avenue   66103,,,"Seabrook Avenue, Southwest   66604",Gilda Court   67215
W 38th Terrace   66103,,,"Seabrook Avenue, Southwest   66614","Gilda Street, North   67205"
W 39th Avenue   66103,,,"Seaman Street, Northwest   66608","Gilda Street, North   67212"
W 40 Avenue   66103,,,"Sedona Road, Southwest   66614","Gilda Street, South   67215"
W 40 Terrace   66103,,,"Sena Drive, Southwest   66604",Gilman Street   67203
W 40th Avenue   66103,,,Seward   66616,Giltner Circle   67211
W 40th Terrace   66103,,,"Seward Avenue, Northeast   66616","Giltner Circle, East   67211"
W 41st Avenue   66103,,,"Shadow Lane, Southwest   66604",Glacier Court   67215
W 42nd Avenue   66103,,,"Shady Lane, Southwest   66609","Glacier Drive, South   67215"
W 43 Place   66103,,,"Shady Ridge Road, Southwest   66610",Glasgow Street   67206
W 43 Terrace   66103,,,"Shadyvale Lane, Southwest   66619","Glen Creek Street, North   67230"
W 43rd Avenue   66103,,,"Shaffer Road, Northeast   66617","Glen Creek, East   67230"
W 43rd Place   66103,,,"Shawna Drive, Northwest   66606",Glen Elder   67220
W 43rd Terrace   66103,,,"Shawnee Court, Southeast   66605",Glen Oaks Circle   67216
W 44 Place   66103,,,"Shawnee Drive, Southeast   66605",Glen Oaks Drive   67216
W 44 Terrace   66103,,,Shawnee Street   66615,"Glen Oaks Drive, East   67216"
W 44th Avenue   66103,,,"Shawnee Terrace, Southeast   66609","Glen Wood Circle, North   67230"
W 44th Place   66103,,,"Shenandoah Road, Southwest   66610",Glen Wood Court   67230
W 44th Terrace   66103,,,"Sherman Avenue, Southeast   66607","Glen Wood Court, North   67230"
W 45th Avenue   66103,,,Sherman Road   66617,"Glen Wood Street, North   67230"
W 46th Avenue   66103,,,"Sherman Road, Northeast   66617",Glencreek Court   67230
W 47th Avenue   66103,,,"Sherwood Court, Southwest   66614","Glendale Avenue, South   67218"
W 47th Street   66103,,,"Sherwood Park Drive, Southwest   66614","Glendale Court, North   67220"
W 47th Street   66106,,,"Shiloh Court, Southeast   66605","Glendale Street, North   67208"
W Barker Circle   66104,,,"Shoreline Drive, Southeast   66605","Glendale Street, North   67220"
W Cambridge Circle Drive   66103,,,"Shorewood Court, Southeast   66605","Glendale Street, South   67210"
W Parkwood Boulevard   66104,,,"Shorewood Drive, Southeast   66605","Glendale Street, South   67218"
W Townsend Court   66109,,,"Shorey Court, Northwest   66608","Glendale, South   67218"
Wagon Trail Court   66109,,,"Shorey Place, Northwest   66608",Gleneagles Court   67209
Wagon Trail Drive   66109,,,"Shuler Avenue, Northeast   66616","Gleneagles Court, North   67212"
Wagon Trail Street   66109,,,Shunga Court   66611,"Gleneagles Road, North   67212"
Walcott Drive   66109,,,"Shunga Court, Southwest   66611","Gleneagles Road, South   67209"
Walker Avenue   66101,,,"Shunga Drive, Southwest   66611","Glengate Circle, East   67206"
Walker Avenue   66102,,,"Shunga Drive, Southwest   66614",Glenhurst Street   67212
Walker Avenue   66104,,,"Shunga View Court, Southwest   66610",Glenmoor Court   67207
Walker Avenue   66109,,,Shunga Woods Court   66614,"Glenmoor Drive, North   67206"
Walker Avenue   66112,,,"Shunga Woods Court, Southwest   66614",Glenmoor Street   67207
Warson Drive   66109,,,"Sieben Court, Southwest   66611","Glenmoor Street, North   67206"
Washington Avenue   66102,,,"Sieben Street, Southwest   66611","Glenn Avenue, North   67203"
Washington Avenue   66112,,,"Silver Road, Northeast   66617","Glenn Avenue, South   67217"
Washington Boulevard   66101,,,"Silverstone Road, Northwest   66618","Glenn Street, South   67213"
Washington Boulevard   66102,,,"Sims Avenue, Southwest   66604","Glenn Street, South   67217"
"Washington Boulevard, North   66102",,,"Sims Court, Southwest   66604","Glenn Street, West   67217"
Washington Court   66109,,,"Sioux Lane, Northwest   66618","Glenn, North   67203"
Washington Drive   66112,,,"Skylark Court, Southeast   66605","Glenn, South   67217"
"Water Street, North   66101",,,"Skylark Drive, Southeast   66605",Glennmoor Court   67206
"Water Street, South   66118",,,"Skyline Drive W, Southwest   66614",Glennmoor Drive   67206
Waterway Drive   66101,,,"Skyline Pkwy, Southwest   66614",Glennwood Court   67230
Waterway Drive   66102,,,"Skyview Court, Southeast   66605",Glenwood   67230
Waterway West Drive   66102,,,"Skyview Drive, Southwest   66614","Goebel Circle, South   67207"
Waverly Avenue   66101,,,"Smith Place, Southwest   66614",Goebel Street   67206
Waverly Avenue   66104,,,"Soldier Street, Northeast   66608","Goebel Street, South   67207"
Waverly Avenue   66109,,,Sosiva Lane   66617,Gold Court   67217
Waverly Court   66109,,,"Sosiva Lane, Northwest   66617",Gold Street   67213
Weaver Court   66104,,,"South Park Avenue, Southwest   66609",Gold Street   67217
Weaver Drive   66104,,,"South Village Pkwy, Southeast   66609","Gold Street, South   67217"
Webster Avenue   66104,,,"Southbrook Court, Southwest   66614","Golden Hills Court, South   67209"
Webster Avenue   66109,,,"Southgate Drive, Southwest   66609","Golden Hills Street, North   67212"
Webster Circle   66109,,,"Sowers Court, Southwest   66604","Golden Hills Street, South   67209"
Welborn Lake Drive   66104,,,Spring Creek Court   66617,Goodrich   67204
Welborn Lane   66104,,,"Spring Creek Court, Southwest   66614",Gordon   67217
West Drive   66109,,,Spring Creek Drive   66610,"Gordon Street, North   67203"
Westgate Street   66104,,,"Spring Creek Drive, Northeast   66617","Gordon Street, North   67204"
Westvale Road   66102,,,"Spring Creek Drive, Southwest   66610","Gordon Street, South   67213"
Westview Drive   66102,,,Spring Creek Lane   66610,"Gordon Street, South   67217"
Whispering Lane   66109,,,"Spring Creek Lane, Southwest   66610","Gordon, South   67213"
White Church Road   66109,,,"Spring Creek Place, Southwest   66614","Governeour Circle, North   67226"
White Church Road   66112,,,"Spring Hill Drive, Southwest   66614",Governeour Court   67207
White Street   66111,,,"Sproatan Lane, Northwest   66617","Governeour Court, South   67207"
Willard Avenue   66106,,,"Sproaton Lane, Northwest   66617","Governeour Road, North   67206"
Willard Court   66106,,,"Spruce Court, Southeast   66605","Governeour Road, South   67207"
Williamson Street   66111,,,"Spruce Lane, Northeast   66617","Governeour Street, North   67226"
Wilson Boulevard   66102,,,"Stafford Street, Southwest   66604",Governour Court   67207
Winchester Drive   66109,,,"Staffordshire Road, Southwest   66614","Governour Court, South   67207"
Wingfoot Drive   66109,,,Stallion Road   66615,Gow Circle   67217
Winona Avenue   66101,,,Stanford Circle   66619,"Gow Street, North   67203"
Wolcott Drive   66109,,,"Starlight Circle, Northwest   66608","Gow Street, South   67217"
Wolcott Road   66109,,,"Starlite Drive, Southeast   66605","Gow, North   67204"
Wood Avenue   66102,,,"Starlite Lane, Northwest   66608","Gow, South   67217"
Wood Avenue   66104,,,State Highway 4   66610,"Graber Circle, West   67217"
Wood Avenue   66112,,,State Highway 4   66614,"Graber Street, East   67216"
Wood Court   66112,,,State Highway 4   66615,"Graber Street, West   67217"
Woodend Avenue   66103,,,State Highway 4   66617,"Grace Lane, North   67208"
Woodend Avenue   66106,,,"State Street, Northeast   66616","Grace, East   67208"
Woodend Avenue   66111,,,"Steeplechase Lane, Southwest   66604","Graham Avenue, East   67214"
Woodend Lane   66106,,,"Sterling Chase Court, Northwest   66618",Graham Street   67214
Woodend Road   66111,,,"Sterling Chase Drive, Northwest   66618",Grail Street   67207
Woodland Boulevard   66106,,,"Sterling Lane, Southwest   66604",Grail Street   67211
Woodswether Road   66118,,,"Stinson Road, Northwest   66618","Grail Street, East   67211"
Woodview Ridge Drive   66103,,,"Stone Avenue, Southwest   66604","Grail, East   67218"
Wyandotte Avenue   66106,,,"Stone Avenue, Southwest   66610",Grammar Street   67218
Wyandotte Circle   66106,,,"Stone Avenue, Southwest   66614",Grand Mere   67230
Wyandotte Street   66106,,,"Stone Creek Road, Southeast   66609",Grand Mere Court   67230
Yates Street   66103,,,"Stone Crest Drive, Southwest   66615","Grand Mere Court, South   67230"
Yates Street   66106,,,"Stonebridge Court, Southwest   66610","Grand Mere Street, South   67230"
Yecker Avenue   66104,,,"Stonegate Court, Southwest   66606",Grand Street   67207
Yecker Avenue   66109,,,"Stoneylake Drive, Southwest   66610",Grand Street   67218
Zarda Lane   66109,,,Stonybrook Court   66614,Grand Street   67230
,,,"Stonybrook Court, Southwest   66614","Grand Street, East   67207"
,,,"Stonybrook Drive, Southwest   66610","Grand Street, East   67218"
,,,"Stonybrook Drive, Southwest   66614",Grandview Street   67218
,,,"Story Street, Northwest   66606","Grant Court, West   67209"
,,,"Strait Avenue, Northeast   66616","Grant Court, West   67235"
,,,"Strait Avenue, Southeast   66607",Grant Street   67209
,,,"Stratford Road, Southwest   66604",Grant Street   67213
,,,"Street John Street, Northwest   66608","Grant Street, West   67209"
,,,"Studer Street, Northwest   66608","Grant Street, West   67235"
,,,"Stutley Court, Southwest   66614","Gray Street, North   67212"
,,,"Stutley Road, Southwest   66610",Graystone   67228
,,,"Stutley Road, Southwest   66614",Graystone   67230
,,,"Stutley Road, Southwest   66615",Graystone Circle   67228
,,,"Suffolk Road, Southwest   66610","Graystone Court, North   67228"
,,,"Sugar Creek Ridge, Northwest   66618",Green Acres Street   67218
,,,"Summerfield Drive, Southwest   66610","Green Acres Street, South   67218"
,,,"Summerwood Court, Southwest   66614","Green Avenue, North   67214"
,,,"Summerwood Road, Southwest   66614","Green Avenue, North   67219"
,,,"Summit Avenue, Southwest   66606","Green Meadow Circle, North   67205"
,,,"Summit Woods Drive, Southwest   66615","Green Street, North   67214"
,,,"Sumner Street, Northeast   66616","Green Street, North   67219"
,,,"Sun Valley Road, Northwest   66618","Green Street, South   67211"
,,,"Sunflower Court, Southwest   66604","Green Street, South   67216"
,,,Sunny Dell Court   66614,Greenbriar   67220
,,,"Sunny Dell Court, Southwest   66614",Greenbriar   67226
,,,"Sunny Knoll Road, Northwest   66617","Greenbriar Circle, East   67226"
,,,"Sunnymede Court, Southwest   66611",Greenbriar Court   67226
,,,Sunset Court   66604,"Greenbriar Court, East   67226"
,,,"Sunset Lane, Northwest   66618","Greenbriar Lane, East   67220"
,,,"Sunset Road, Southwest   66614","Greenbriar Lane, East   67226"
,,,"Susie Court, Northeast   66617",Greenbriar Street   67226
,,,SW 10th Avenue   66604,"Greenbriar Street, East   67226"
,,,SW 10th Avenue   66606,"Greenfield Circle, West   67215"
,,,SW 10th Avenue   66612,"Greenfield Street, West   67217"
,,,SW 10th Avenue   66615,Greenhaven Place   67216
,,,SW 10th Street   66604,"Greenhaven Place, South   67216"
,,,SW 10th Street   66606,Greenhaven Street   67216
,,,SW 10th Street   66612,"Greenhaven Street, South   67216"
,,,SW 10th Street   66615,Greenleaf   67226
,,,SW 10th Terrace   66604,Greenleaf Court   67226
,,,SW 11th Street   66604,"Greenleaf Court, North   67226"
,,,SW 11th Street   66612,"Greenleaf Street, North   67226"
,,,SW 11th Street   66615,"Greenleaf Street, South   67210"
,,,SW 11th Terrace   66604,Greenspoint   67205
,,,SW 12th Street   66604,"Greenspoint Street, West   67205"
,,,SW 12th Street   66612,Greenway Boulevard   67213
,,,SW 12th Street   66615,Greenway Boulevard   67216
,,,SW 12th Terrace   66604,"Greenway Circle, South   67216"
,,,SW 13th Court   66604,"Greenway Court, East   67213"
,,,SW 13th Street   66604,"Greenway, North   67203"
,,,SW 13th Street   66612,"Greenwich Court, South   67210"
,,,SW 13th Street   66615,Greenwich Road   67226
,,,SW 14th Street   66604,"Greenwich Road, North   67206"
,,,SW 14th Street   66612,"Greenwich Road, North   67226"
,,,SW 15th Court   66604,"Greenwich Road, North   67228"
,,,SW 15th Street   66604,"Greenwich Road, South   67207"
,,,SW 15th Street   66612,"Greenwich Road, South   67210"
,,,SW 15th Terrace   66604,Greenwood Circle   67216
,,,SW 16th Street   66604,Greenwood Street   67211
,,,SW 16th Street   66612,Greenwood Street   67216
,,,SW 17th Street   66604,"Greenwood Street, South   67211"
,,,SW 17th Street   66612,"Greenwood Street, South   67216"
,,,SW 17th Street   66615,"Greenwood, South   67216"
,,,SW 17th Terrace   66604,"Gretchen Lane, North   67206"
,,,SW 17th Terrace   66615,Gretchen Street   67206
,,,SW 18th Street   66604,"Grey Meadow Court, North   67205"
,,,SW 18th Street   66612,"Grey Meadow Street, North   67205"
,,,SW 18th Street   66615,"Griffith Street, South   67207"
,,,SW 18th Terrace   66604,"Grove Court, South   67216"
,,,SW 19th Lane   66615,"Grove Drive, North   67214"
,,,SW 19th Street   66604,"Grove Drive, South   67211"
,,,SW 19th Street   66612,"Grove Street, North   67214"
,,,SW 19th Street   66615,"Grove Street, North   67219"
,,,SW 19th Terrace   66604,"Grove Street, South   67211"
,,,SW 19th Terrace   66615,"Grove Street, South   67216"
,,,SW 20th Street   66604,"Grove, South   67211"
,,,SW 20th Street   66612,"Grover Avenue, West   67217"
,,,SW 20th Terrace   66604,Gunnison Street   67220
,,,SW 21st Street   66604,"Gunnison Street, North   67220"
,,,SW 21st Street   66612,"Gustafson Street, West   67204"
,,,SW 21st Street   66614,Hadden Street   67217
,,,SW 21st Street   66615,"Hale Street, South   67217"
,,,SW 21st Terrace   66614,"Hale, West   67212"
,,,SW 22nd Court   66614,Halstead Street   67204
,,,SW 22nd Park   66611,"Halstead Street, North   67204"
,,,SW 22nd Park   66614,Hammond Drive   67218
,,,SW 22nd Place   66614,Hampton   67226
,,,SW 22nd Street   66611,Hampton Road   67206
,,,SW 22nd Street   66614,Hampton Road   67207
,,,SW 22nd Terrace   66614,"Hampton Road, North   67206"
,,,SW 22nd Terrace   66615,"Handley Street, North   67203"
,,,SW 23rd Court   66614,"Handley Street, South   67213"
,,,SW 23rd Park   66611,"Handley Street, South   67217"
,,,SW 23rd Street   66611,Hanover Street   67220
,,,SW 23rd Street   66614,"Harborlight Court, West   67204"
,,,SW 23rd Street Park   66611,"Harborlight Street, West   67204"
,,,SW 23rd Terrace   66614,"Harborside Court, North   67204"
,,,SW 24th Court   66614,Harborside Drive   67204
,,,SW 24th Street   66611,"Harborside Drive, North   67204"
,,,SW 24th Street   66614,"Harding Avenue, North   67220"
,,,SW 24th Terrace   66614,Harding Street   67208
,,,SW 25th Court   66614,"Harding Street, North   67220"
,,,SW 25th Drive   66611,"Hardtner Circle, West   67235"
,,,SW 25th Street   66611,Hardtner Court   67212
,,,SW 25th Street   66614,Hardtner Court   67235
,,,SW 25th Terrace   66614,"Hardtner Court, West   67235"
,,,SW 26th Court   66614,Hardtner Street   67212
,,,SW 26th Drive   66611,"Hardtner Street, West   67212"
,,,SW 26th Street   66611,"Hardtner Street, West   67235"
,,,SW 26th Street   66614,"Harlan Street, North   67212"
,,,SW 26th Terrace   66614,Harmon Drive   67210
,,,SW 27th Court   66614,Harmony Court   67209
,,,SW 27th Street   66611,Harmony Street   67209
,,,SW 27th Street   66614,Harrell Road   67217
,,,SW 27th Terrace   66611,Harrison Street   67203
,,,SW 27th Terrace   66614,"Harry Court, East   67207"
,,,SW 28th Court   66614,"Harry Court, West   67213"
,,,SW 28th Street   66611,"Harry Drive, East   67211"
,,,SW 28th Street   66614,"Harry Street, East   67207"
,,,SW 28th Terrace   66611,"Harry Street, East   67211"
,,,SW 28th Terrace   66614,"Harry Street, East   67218"
,,,SW 29th Street   66610,"Harry Street, East   67230"
,,,SW 29th Street   66611,"Harry Street, West   67209"
,,,SW 29th Street   66614,"Harry Street, West   67213"
